stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,source
29354,25931,PARSIPPANY BLVD AT TIVOLI GARDENS APT RD,,40.86836,-74.422303,0,bus
29355,25937,PARSIPPANY RD AT LANDIX PLAZA WEST,,40.863438,-74.42557,0,bus
29356,25938,PARSIPPANY RD AT ALLENTOWN RD,,40.861268,-74.426611,0,bus
29357,25939,PARSIPPANY RD AT CARLSTADT RD,,40.855299,-74.427063,0,bus
29358,25940,PARSIPPANY RD AT EASTMANS RD,,40.847199,-74.424361,0,bus
29359,25910,JEFFERSON RD AT PARSIPPANY RD (UPS),,40.846618,-74.421492,0,bus
29386,25918,JEFFERSON RD AT PARSIPPANY RD (UPS),,40.846668,-74.421492,0,bus
29387,25933,PARSIPPANY RD AT EASTMANS RD,,40.846928,-74.424011,0,bus
29388,25934,PARSIPPANY RD AT CARLSTADT RD,,40.855949,-74.427001,0,bus
29389,25935,PARSIPPANY RD AT ALLENTOWN RD,,40.861068,-74.426573,0,bus
29390,25936,PARSIPPANY RD AT LANDIX PLAZA EAST,,40.863479,-74.425161,0,bus
29391,25932,PARSIPPANY BLVD AT TIVOLI GARDENS APT RD,,40.868979,-74.421472,0,bus
29439,21422,JFK BLVD AT 42ND ST,,40.77866,-74.027403,8195,bus
29519,17481,DODD ST AT KEARNY ST,,40.782227,-74.219942,8192,bus
29641,23252,WOODBRIDGE AVE AT KEARNY AVE,,40.50192,-74.39034,0,bus
29984,29280,RANDOLPH RD AT KENYON AVE,,40.606598,-74.413953,0,bus
30040,29287,RANDOLPH RD AT KENYON AVE,,40.606688,-74.413711,0,bus
30233,24423,CR-537 at HOMINY HILL RD #,,40.283958,-74.187881,0,bus
30607,25946,US 46 AT PARSIPPANY BLVD (US 202),,40.870738,-74.420981,8192,bus
30846,16466,OCEAN DR AT 42ND ST#,,39.089359,-74.731452,8192,bus
31162,21278,KEARNY AVE AT BENNETT AVE#,,40.779169,-74.140751,0,bus
31171,11313,HACKENSACK ST AT HOBOKEN RD,,40.83543,-74.092831,0,bus
31209,21243,KEARNY AVE AT MIDLAND AVE,,40.771107,-74.144852,0,bus
31629,18530,ELIZABETH AVE AT E RUNYON ST,,40.714899,-74.19212,0,bus
35381,20292,AVE C AT W 33RD ST,,40.673398,-74.11367,0,bus
35382,20291,AVE C AT W 34TH ST,,40.674428,-74.112813,8192,bus
35386,20287,AVE C AT W 42ND ST,,40.67927,-74.10869,0,bus
35522,20615,CENTRAL AVE AT MANHATTAN AVE,,40.742589,-74.05166,8192,bus
36843,21560,ENTERPRISE AVE AT SECAUCUS RD,,40.780038,-74.071082,0,bus
38218,26248,NYS 210 AT LAKE SHORE RD,,41.1869,-74.330903,0,bus
38456,21443,SECAUCUS RD 1310'E OF 16TH ST.,,40.765147,-74.054552,8192,bus
38457,21441,SECAUCUS RD AT 16TH ST,,40.768329,-74.056473,0,bus
39091,21227,SECAUCUS RD 1800' S OF PENHORN AVE.#,,40.770209,-74.057773,0,bus
40102,30292,RIDGE RD AT NEW YORK AVE,,40.81151,-74.116551,0,bus
40397,21678,SECAUCUS RD (5TH ST) AT SUMMIT AVE,,40.756998,-74.044671,0,bus
40696,27199,BOTANY VILLAGE#,,40.873837,-74.121271,0,bus
40819,21561,ENTERPRISE AVE SOUTH 466'S OF SECAUCUS RD,,40.777248,-74.071623,0,bus
40823,21564,ENTERPRISE AVE SOUTH 466' S OF SECAUCUS RD.,,40.778128,-74.071041,0,bus
40870,21653,SECAUCUS RD 310'E OF ENTERPRISE AVE SOUTH,,40.77866,-74.069112,0,bus
40917,30205,NEW YORK AVE AT 35TH ST,,40.772878,-74.027073,0,bus
40966,18261,BERGEN ST AT WEST RUNYON ST,,40.717617,-74.20173,0,bus
40968,18274,BERGEN ST AT WEST RUNYON ST,,40.717478,-74.201931,0,bus
41127,25969,WATERVIEW BLVD 300' S OF PARSIPPANY RD,,40.874928,-74.424361,0,bus
41156,21745,NEW YORK AVE AT 6TH ST,,40.755688,-74.038513,0,bus
41157,21750,NEW YORK AVE AT 19TH ST,,40.76389,-74.033291,0,bus
41286,30891,RT-34 AT CANYON WOODS DR SOUTH,,40.418928,-74.255681,0,bus
41439,27845,RT-23 75'N OF NEW YORK AVE,,40.925568,-74.268592,0,bus
41696,14400,BRICK RD AT SUNNYSIDE CT,,39.8797,-74.914733,0,bus
41790,14355,US-130 at PENNYPACKER DRIVE #,,40.044168,-74.907481,0,bus
41801,14286,US-130 AT NEW ALBANY RD,,40.007468,-74.972181,0,bus
41958,19651,TANYARD ROAD AT BRENNAN ROAD#,,39.802929,-75.124261,0,bus
42042,14128,US-9 AT OLD NEW YORK RD,,39.584597,-74.462842,0,bus
42072,14139,US-9 AT OLD NEW YORK RD,,39.584378,-74.462932,0,bus
42784,31399,US 46 AT PARSIPPANY BLVD (US 202)#,,40.8711,-74.421703,1360,bus
42841,20397,JFK BLVD AT 34TH ST,,40.675658,-74.114821,0,bus
42859,20415,JFK BLVD AT 42ND ST,,40.680648,-74.112602,0,bus
42899,20807,JFK BLVD AT CLENDENNY AVE,,40.717647,-74.079651,0,bus
42920,20863,JFK BLVD AT CLENDENNY AVE,,40.717508,-74.080332,0,bus
43189,31668,MANHATTAN AVE AT LIBERTY AVE,,40.745908,-74.0593,0,bus
43248,31731,JOURNAL SQUARE TRANSPORTATION CENTER,,40.7321,-74.06227,0,bus
43249,31732,JOURNAL SQUARE TRANSPORTATION CENTER,,40.732048,-74.062003,0,bus
43260,31757,PORT AUTHORITY BUS TERMINAL,,40.75722,-73.993143,0,bus
