property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,distance_miles,transit_stop,transit_type,stop_lat,stop_lon
https://www.realtor.com/realestateandhomes-detail/6363340760,HCNJ,250006612,FOR_SALE,CONDOS,84 Willow Ave,Apt 2B,Hoboken,NJ,07030,2,2,,1215,,1289000,2025-04-04,970000,2019-08-06,,1061,40.73733,-74.034906,2,515,,0.39886625928778646,HOBOKEN,rail,40.734843,-74.028046
https://www.realtor.com/realestateandhomes-detail/6561257400,HCNJ,250006391,FOR_SALE,LAND,317 Summit Ave,,Jersey City,NJ,07306,,,,,,800000,2025-04-02,145000,2004-03-19,2600,,40.726384,-74.064277,,,,0.40776132208227456,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9598239684,GSNJ,3955137,FOR_SALE,CONDOS,270 Saint Pauls Ave,Unit 4,Jersey City,NJ,07306,2,2,,1068,2020,720000,2025-04-05,,,2614,674,40.737864,-74.063839,,487,,0.4106998596325845,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9058042111,GSNJ,3960411,FOR_SALE,MULTI_FAMILY,81 Columbia St,,Newark,NJ,07102,5,4,1,2310,1882,649900,2025-05-01,,,1742,281,40.730171,-74.170464,3,,,0.417531553189163,NEWARK PENN STATION,rail,40.734221,-74.164554
https://www.realtor.com/realestateandhomes-detail/6218441238,HCNJ,250007059,FOR_SALE,CONDOS,300 Newark St,Apt 8G,Hoboken,NJ,07030,4,2,,2200,,1799999,2025-04-10,1570000,2017-06-09,,818,40.737637,-74.035288,2,677,,0.4262084021404889,HOBOKEN,rail,40.734843,-74.028046
https://www.realtor.com/realestateandhomes-detail/5719985046,HCNJ,250007970,FOR_SALE,MULTI_FAMILY,23 Vroom St,,Jersey City,NJ,07306,6,3,,,,999000,2025-04-24,440000,2006-09-11,2450,,40.725915,-74.062966,,,,0.4263200748021036,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/5459989948,HCNJ,250006222,FOR_SALE,CONDOS,378 Baldwin Ave,Apt 1L,Jersey City,NJ,07306,2,1,,900,,375000,2025-04-01,,,,417,40.73357,-74.054161,,410,,0.4301214014563403,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/6779913588,BCNJ,25012982,FOR_SALE,CONDOS,225 Park Ave,Apt 2,Hoboken,NJ,07030,4,3,,,,3625000,2025-05-02,,,,,40.740013,-74.032649,,,,0.43085161245785447,HOBOKEN,rail,40.734843,-74.028046
https://www.realtor.com/realestateandhomes-detail/9729845192,HCNJ,250006308,FOR_SALE,MULTI_FAMILY,81 Van Wagenen Ave,,Jersey City,NJ,07306,8,3,,,,799000,2025-04-02,,,3235,,40.732975,-74.07029,,,2,0.43394320871006803,JOURNAL SQUARE TRANSPORTATION CENTER,bus,40.732059,-74.062111
https://www.realtor.com/realestateandhomes-detail/9284789985,HCNJ,250009721,FOR_SALE,CONDOS,225 Park Ave,Apt 1,Hoboken,NJ,07030,4,3,,3218,,3750000,2025-05-15,,,,1165,40.740028,-74.032753,2,,1,0.4347872511493444,HOBOKEN,rail,40.734843,-74.028046
